nom,plateforme,cout,niveau,duree,lien
Master Data Science et Intelligence Artificielle,Université Paris-Saclay,8000,Master,24 mois,https://www.universite-paris-saclay.fr/formation/master/informatique/m2-data-sciences
Formation Développeur Full Stack JavaScript,OpenClassrooms,3000,Bac+2,12 mois,https://openclassrooms.com/fr/paths/516-developpeur-web
Data Engineer,DataScientest,6500,Bac+4,6 mois,https://datascientest.com/formation-data-engineer
Formation DevOps,Simplon,4500,Bac+3,9 mois,https://simplon.co/formation/devops
Master Cloud Computing et Cybersécurité,EPITA,9500,Master,24 mois,https://www.epita.fr/nos-formations/formation-continue
Formation Data Analyst,Le Wagon,7500,Bac+3,9 semaines,https://www.lewagon.com/fr/data-analytics-course
Architecte Cloud,AWS Training,2000,Bac+5,3 mois,https://aws.amazon.com/fr/training
Formation Machine Learning Engineer,Coursera,500,Bac+5,6 mois,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate
Formation Développeur Python,Udemy,200,Débutant,3 mois,https://www.udemy.com/course/complete-python-bootcamp
Formation Cybersécurité,ANSSI,5000,Bac+4,12 mois,https://www.ssi.gouv.fr/formation
Formation Big Data,Hadoop University,3500,Bac+4,6 mois,https://www.cloudera.com/about/training.html
Formation Deep Learning,Fast.ai,0,Avancé,4 mois,https://www.fast.ai/
Formation Blockchain Developer,Alyra,4000,Bac+3,6 mois,https://alyra.fr/
Formation UI/UX Design,Strate École de Design,6000,Bac+3,12 mois,https://www.strate.design/
Formation Product Owner,SCRUM.org,1500,Bac+3,3 mois,https://www.scrum.org/professional-scrum-product-owner-certifications
